Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
-1.8047150373458865,-1.7953362464904785,-4.094778537750244,-4.076999664306641,-2.176729202270508,-2.1758170127868652
-1.7751455307006836,-1.7851781845092773,-4.157267093658447,-4.133718967437744,-1.9427711963653564,-1.974926471710205
-3.1190314292907715,-3.1193244457244873,-1.8581598997116089,-1.859214186668396,-2.997642993927002,-3.004486560821533
-1.7282474040985107,-1.7514547109603882,-4.249798774719238,-4.280972003936768,-2.0047435760498047,-2.0013184547424316
-1.9317880868911743,-1.9394069910049438,-3.9193577766418457,-3.9292335510253906,-2.027089357376098,-2.0143604278564453
-3.1190311908721924,-3.1193244457244873,-1.8581598997116089,-1.859214186668396,-2.997643232345581,-3.004486560821533
-3.0626771450042725,-3.062084913253784,-1.8369861841201784,-1.84796142578125,-3.0101163387298584,-3.009800910949707
-3.167929172515869,-3.1565914154052734,-1.972460389137268,-1.9739959239959717,-3.081762313842773,-3.082493305206299
-3.098341703414917,-3.0736653804779053,-1.894566535949707,-1.8884260654449463,-2.925794839859009,-2.933131694793701
-3.167929172515869,-3.1565914154052734,-1.972460389137268,-1.9739959239959717,-3.081762313842773,-3.082493305206299
-3.098342180252075,-3.0736653804779053,-1.8945671319961548,-1.8884260654449463,-2.925795316696167,-2.933131694793701
5.4571452140808105,5.4498491287231445,5.410088539123535,5.41767692565918,5.562417984008789,5.5738139152526855
5.652053356170654,5.6479411125183105,5.425321578979492,5.42750358581543,5.411493301391602,5.4220428466796875
5.4571452140808105,5.4498491287231445,5.410088062286377,5.41767692565918,5.562417984008789,5.5738139152526855
5.652053356170654,5.6479411125183105,5.425321578979492,5.42750358581543,5.411493301391602,5.4220428466796875
2.411341428756714,2.4165756702423096,2.8609659671783447,2.8826067447662354,2.5211360454559326,2.5102226734161377
2.446155309677124,2.4165756702423096,2.866332054138184,2.8826067447662354,2.531201124191284,2.5102226734161377
-2.255906581878662,-2.2366464138031006,-3.5817341804504395,-3.5636165142059326,-2.791277885437012,-2.8143179416656494
-3.1898610591888428,-3.1772048473358154,-2.052689790725708,-2.05954909324646,-3.0314934253692627,-3.019453525543213
-2.2519028186798096,-2.2366464138031006,-3.5596091747283936,-3.5636165142059326,-2.783015012741089,-2.8143179416656494
-1.7620320320129397,-1.7889147996902466,-4.7046403884887695,-4.689347743988037,-2.049867630004883,-2.0132927894592285
-1.7771450281143188,-1.7889147996902466,-4.695503234863281,-4.689347743988037,-2.04778790473938,-2.0132927894592285
-3.20358943939209,-3.1772048473358154,-2.067314624786377,-2.05954909324646,-3.0186986923217773,-3.019453525543213
-3.20358943939209,-3.1772048473358154,-2.067314863204956,-2.05954909324646,-3.0186986923217773,-3.019453525543213
-3.195086479187012,-3.201995849609375,-2.225758552551269,-2.2288525104522705,-3.1433138847351074,-3.154536485671997
-3.201091766357422,-3.201995849609375,-2.224061965942383,-2.2288525104522705,-3.134360313415528,-3.154536485671997
-3.195086479187012,-3.201995849609375,-2.2257583141326904,-2.2288525104522705,-3.1433138847351074,-3.154536485671997
-3.189861297607422,-3.1772048473358154,-2.052689790725708,-2.05954909324646,-3.031493663787842,-3.019453525543213
-3.2010915279388428,-3.201995849609375,-2.224061727523804,-2.2288525104522705,-3.134360074996948,-3.154536485671997
3.310968399047852,3.309390068054199,2.90830135345459,2.8686940670013428,3.606892108917236,3.629446029663086
3.3058650493621826,3.309390068054199,2.8980445861816406,2.8686940670013428,3.5989201068878174,3.629446029663086
5.537383556365967,5.528998374938965,5.522948265075684,5.539233207702637,5.513082504272461,5.517961025238037
5.538572788238525,5.528998374938965,5.550797462463379,5.539233207702637,5.52168083190918,5.517961025238037
5.537383556365967,5.528998374938965,5.522948265075684,5.539233207702637,5.513082504272461,5.517961025238037
5.538572788238525,5.528998374938965,5.550797462463379,5.539233207702637,5.52168083190918,5.517961025238037
2.39318585395813,2.3740196228027344,2.633410692214966,2.64512300491333,2.428987503051758,2.4384236335754395
2.4645020961761475,2.480250835418701,2.6469547748565674,2.6598012447357178,2.619838237762451,2.587148904800415
-1.6232116222381592,-1.6188859939575195,-3.721757650375366,-3.717752456665039,-2.874706268310547,-2.892148733139038
-3.106703996658325,-3.103701591491699,-1.9988633394241333,-2.0273005962371826,-3.046682834625244,-3.0218372344970703
-2.376288652420044,-2.3802926540374756,-3.9074013233184814,-3.910742998123169,-1.9319685697555544,-1.9295451641082764
-1.8492566347122192,-1.877541184425354,-4.414914131164551,-4.40818452835083,-1.9661173820495603,-1.9535542726516724
-1.6799253225326538,-1.667694091796875,-4.422438144683838,-4.425112247467041,-2.0993099212646484,-2.0830979347229004
-3.1504359245300293,-3.154724597930908,-1.9039593935012815,-1.8883967399597168,-2.972050189971924,-2.9875800609588623
-3.1504359245300293,-3.154724597930908,-1.903959274291992,-1.8883967399597168,-2.972050189971924,-2.9875800609588623
-3.1400632858276367,-3.1508982181549072,-2.174598455429077,-2.179809331893921,-3.0007147789001465,-3.0133180618286133
-3.197939395904541,-3.185023307800293,-1.9125057458877563,-1.934706687927246,-3.108245849609375,-3.1270089149475098
-3.1400632858276367,-3.1508982181549072,-2.174598455429077,-2.179809331893921,-3.0007147789001465,-3.0133180618286133
-3.106703996658325,-3.103701591491699,-1.9988633394241333,-2.0273005962371826,-3.046682834625244,-3.0218372344970703
-3.197939395904541,-3.185023307800293,-1.912505865097046,-1.934706687927246,-3.108245849609375,-3.1270089149475098
3.2233569622039795,3.22701096534729,3.066683292388916,3.036799192428589,3.527076244354248,3.532386064529419
2.55873441696167,2.557340383529663,2.146904706954956,2.1897695064544678,2.635673999786377,2.6271612644195557
5.753406047821045,5.761597633361816,5.507641315460205,5.529503345489502,5.259292602539063,5.269101142883301
5.286187648773193,5.285646438598633,5.468565464019775,5.465859889984131,5.698662757873535,5.717256546020508
